s01c01,144,1,144
s01c02,79,145,223
s01c03,15,224,238
s01c04,128,239,366
s01c05,82,367,448
s01c06,125,449,573
s01c07,156,574,729
s01c08,67,730,796
s01c09,48,797,844
s01c10,168,845,1012
s01c11,,,
s01c12,,,
s01c13,,,
s01c14,,,
s01c15,,,
s01c16,,,
s01c17,,,
s01c18,,,
s01c19,,,
s01c20,,,
s01c21,,,
s01c22,,,
s01c23,,,
s01c24,,,
s01c25,,,
s01c26,,,
s01c27,,,
s01c28,,,
s01c29,,,
s01c30,,,
s01c31,,,
s01c32,,,
s01c33,,,
s01c34,,,
s01c35,,,
s01c36,,,
s01c37,,,
s01c38,,,
s01c39,,,
s01c40,,,
s01c41,,,
s01c42,,,
s01c43,,,
s01c44,,,
s01c45,,,
s01c46,,,
s01c47,,,
s01c48,,,
s01c49,,,
s01c50,,,
s02c01,288,1,288
s02c02,34,289,322
s02c03,64,323,386
s02c04,60,387,446
s02c05,261,447,707
s02c06,82,708,789
s02c07,144,790,933
s02c08,48,934,981
s02c09,120,982,1101
s02c10,84,1102,1185
s02c11,53,1186,1238
s02c12,132,1239,1370
s02c13,30,1371,1400
s02c14,24,1401,1424
s02c15,31,1425,1455
s02c16,32,1456,1487
s02c17,40,1488,1527
s02c18,86,1528,1613
s02c19,100,1614,1713
s02c20,108,1714,1821
s02c21,72,1822,1893
s02c22,60,1894,1953
s02c23,76,1954,2029
s02c24,93,2030,2122
s02c24b,124,2123,2246
s02c25,144,2247,2390
s02c26,192,2391,2582
s02c27,192,2583,2774
s02c28,288,2775,3062
s02c29,,,
s02c30,,,
s02c31,,,
s02c32,,,
s02c33,,,
s02c34,,,
s02c35,,,
s02c36,,,
s02c37,,,
s02c38,,,
s02c39,,,
s02c40,,,
s02c41,,,
s02c42,,,
s02c43,,,
s02c44,,,
s02c45,,,
s02c46,,,
s02c47,,,
s02c48,,,
s02c49,,,
s03c01,96,1,96
s03c02,128,97,224
s03c03,69,225,293
s03c04,72,294,365
s03c05,79,366,444
s03c06,51,445,495
s03c07,56,496,551
s03c08,124,552,675
s03c09,219,676,894
s03c10,67,895,961
s03c11,59,962,1020
s03c12,48,1021,1068
s03c13,126,1069,1194
s03c14,69,1195,1263
s03c15,71,1264,1334
s03c16,256,1335,1590
s03c17,,,
s03c18,,,
s03c19,,,
s03c20,,,
s03c21,,,
s03c22,,,
s03c23,,,
s03c24,,,
s03c25,,,
s03c26,,,
s03c27,,,
s03c28,,,
s03c29,,,
s03c30,,,
s03c31,,,
s03c32,,,
s03c33,,,
s03c34,,,
s03c35,,,
s03c36,,,
s03c37,,,
s03c38,,,
s03c39,,,
s03c40,,,
s03c41,,,
s03c42,,,
s03c43,,,
s03c44,,,
s03c45,,,
s03c46,,,
s03c47,,,
s03c48,,,
s03c49,,,
s03c50,,,
s04c01,197,1,197
s04c02,144,198,341
s04c03,130,342,471
s04c04,263,472,734
s04c05,,,
s04c06,,,
s04c07,,,
s04c08,,,
s04c09,,,
s04c10,,,
s04c11,,,
s04c12,,,
s04c13,,,
s04c14,,,
s04c15,,,
s04c16,,,
s04c17,,,
s04c18,,,
s04c19,,,
s04c20,,,
s04c21,,,
s04c22,,,
s04c23,,,
